date,instrument,prediction
2020-03-30,cl1s,0.55
2020-03-30,rb1s,0.55
2020-03-31,rb1s,0.55
2020-04-01,rb1s,0.55
2020-04-02,rb1s,0.55
2020-04-03,rb1s,0.55
2020-04-06,rb1s,0.55
2020-04-07,rb1s,0.55
2020-04-08,rb1s,0.55
2020-04-09,rb1s,0.55
2020-04-13,rb1s,0.55
2020-04-14,rb1s,0.55
2020-04-15,ho1s,0.55
2020-04-15,rb1s,0.55
2020-04-16,ho1s,0.55
2020-04-16,rb1s,0.55
2020-04-17,rb1s,0.55
2020-04-20,rb1s,0.55
2020-04-21,cl1s,0.55
2020-04-21,ho1s,0.55
2020-04-21,rb1s,0.55
2020-04-22,cl1s,0.55
2020-04-22,rb1s,0.55
2020-04-23,cl1s,0.55
2020-04-23,rb1s,0.55
2020-04-24,cl1s,0.55
2020-04-24,rb1s,0.55
2020-04-27,cl1s,0.55
2020-04-27,rb1s,0.55
2020-04-28,cl1s,0.55
2020-04-28,rb1s,0.55
2020-04-29,cl1s,0.55
2020-04-29,rb1s,0.55
2020-04-30,cl1s,0.55
2020-04-30,rb1s,0.55
2020-05-01,cl1s,0.55
2020-05-01,rb1s,0.55
2020-05-04,cl1s,0.55
2020-05-04,rb1s,0.55
2020-05-05,cl1s,0.55
2020-05-05,ng1s,0.55
2020-05-05,rb1s,0.55
2020-05-06,cl1s,0.55
2020-05-06,ng1s,0.55
2020-05-06,rb1s,0.55
2020-05-07,cl1s,0.55
2020-05-07,ng1s,0.55
2020-05-07,rb1s,0.55
2020-05-08,cl1s,0.55
2020-05-08,ng1s,0.55
2020-05-08,rb1s,0.55
2020-05-11,cl1s,0.55
2020-05-11,ng1s,0.55
2020-05-11,rb1s,0.55
2020-05-12,cl1s,0.55
2020-05-12,ng1s,0.55
2020-05-12,rb1s,0.55
2020-05-13,cl1s,0.55
2020-05-13,rb1s,0.55
2020-05-14,cl1s,0.55
2020-05-14,ng1s,0.55
2020-05-14,rb1s,0.55
2020-05-15,ng1s,0.55
2020-05-15,rb1s,0.55
2020-05-18,ho1s,0.55
2020-05-18,ng1s,0.55
2020-05-18,rb1s,0.55
2020-05-19,cl1s,0.55
2020-05-19,ng1s,0.55
2020-05-19,rb1s,0.55
2020-05-20,ho1s,0.55
2020-05-20,ng1s,0.55
2020-05-20,rb1s,0.55
2020-05-21,ng1s,0.55
2020-05-21,rb1s,0.55
2020-05-22,rb1s,0.55
2020-05-26,rb1s,0.55
2020-05-27,cl1s,0.55
2020-05-27,ng1s,0.55
2020-05-27,rb1s,0.55
2020-05-28,cl1s,0.55
2020-05-28,ng1s,0.55
2020-05-28,rb1s,0.55
2020-05-29,ng1s,0.55
2020-05-29,rb1s,0.55
2020-06-01,ng1s,0.55
2020-06-01,rb1s,0.55
2020-06-02,ng1s,0.55
2020-06-02,rb1s,0.55
2020-06-03,rb1s,0.55
2020-06-04,cl1s,0.55
2020-06-04,rb1s,0.55
2020-06-05,cl1s,0.55
2020-06-05,rb1s,0.55
2020-06-08,cl1s,0.55
2020-06-08,rb1s,0.55
2020-06-09,cl1s,0.55
2020-06-09,rb1s,0.55
2020-06-10,cl1s,0.55
2020-06-10,rb1s,0.55
2020-06-11,cl1s,0.55
2020-06-11,rb1s,0.55
2020-06-12,cl1s,0.55
2020-06-12,rb1s,0.55
2020-06-15,rb1s,0.55
2020-06-16,rb1s,0.55
2020-06-17,cl1s,0.55
2020-06-17,rb1s,0.55
2020-06-18,cl1s,0.55
2020-06-18,rb1s,0.55
2020-06-19,cl1s,0.55
2020-06-19,rb1s,0.55
2020-06-22,cl1s,0.55
2020-06-22,rb1s,0.55
2020-06-23,cl1s,0.55
2020-06-23,rb1s,0.55
2020-06-24,cl1s,0.55
2020-06-24,rb1s,0.55
2020-06-25,cl1s,0.55
2020-06-25,rb1s,0.55
2020-06-26,cl1s,0.55
2020-06-26,rb1s,0.55
2020-06-29,cl1s,0.55
2020-06-29,rb1s,0.55
2020-06-30,cl1s,0.55
2020-06-30,rb1s,0.55
2020-07-01,cl1s,0.55
2020-07-01,ho1s,0.55
2020-07-01,rb1s,0.55
2020-07-02,cl1s,0.55
2020-07-02,rb1s,0.55
2020-07-06,cl1s,0.55
2020-07-06,rb1s,0.55
2020-07-07,cl1s,0.55
2020-07-07,rb1s,0.55
2020-07-08,cl1s,0.55
2020-07-08,rb1s,0.55
2020-07-09,cl1s,0.55
2020-07-09,rb1s,0.55
2020-07-10,cl1s,0.55
2020-07-10,ho1s,0.55
2020-07-10,rb1s,0.55
2020-07-13,cl1s,0.55
2020-07-13,rb1s,0.55
2020-07-14,cl1s,0.55
2020-07-14,rb1s,0.55
2020-07-15,cl1s,0.55
2020-07-15,rb1s,0.55
2020-07-16,cl1s,0.55
2020-07-16,rb1s,0.55
2020-07-17,cl1s,0.55
2020-07-17,rb1s,0.55
2020-07-20,cl1s,0.55
2020-07-20,rb1s,0.55
2020-07-21,cl1s,0.55
2020-07-21,rb1s,0.55
2020-07-22,cl1s,0.55
2020-07-22,rb1s,0.55
2020-07-23,cl1s,0.55
2020-07-23,rb1s,0.55
2020-07-24,cl1s,0.55
2020-07-24,rb1s,0.55
2020-07-27,cl1s,0.55
2020-07-27,rb1s,0.55
2020-07-28,cl1s,0.55
2020-07-28,rb1s,0.55
2020-07-29,cl1s,0.55
2020-07-29,rb1s,0.55
2020-07-30,cl1s,0.55
2020-07-30,rb1s,0.55
2020-07-31,cl1s,0.55
2020-07-31,rb1s,0.55
2020-08-03,cl1s,0.55
2020-08-03,ng1s,0.55
2020-08-03,rb1s,0.55
2020-08-04,cl1s,0.55
2020-08-04,rb1s,0.55
2020-08-05,rb1s,0.55
2020-08-06,ng1s,0.55
2020-08-06,rb1s,0.55
2020-08-07,rb1s,0.55
2020-08-10,ng1s,0.55
2020-08-10,rb1s,0.55
2020-08-11,rb1s,0.55
2020-08-12,rb1s,0.55
2020-08-13,rb1s,0.55
2020-08-14,rb1s,0.55
2020-08-17,rb1s,0.55
2020-08-18,rb1s,0.55
2020-08-19,rb1s,0.55
2020-08-20,rb1s,0.55
2020-08-21,cl1s,0.55
2020-08-21,rb1s,0.55
2020-08-24,cl1s,0.55
2020-08-24,rb1s,0.55
2020-08-25,cl1s,0.55
2020-08-25,rb1s,0.55
2020-08-26,cl1s,0.55
2020-08-26,rb1s,0.55
2020-08-27,rb1s,0.55
2020-08-28,rb1s,0.55
2020-08-31,rb1s,0.55
2020-09-01,cl1s,0.55
2020-09-01,rb1s,0.55
2020-09-02,cl1s,0.55
2020-09-02,rb1s,0.55
2020-09-03,rb1s,0.55
2020-09-04,rb1s,0.55
2020-09-08,ho1s,0.55
2020-09-08,rb1s,0.55
2020-09-09,rb1s,0.55
2020-09-10,rb1s,0.55
2020-09-11,rb1s,0.55
2020-09-14,rb1s,0.55
2020-09-15,rb1s,0.55
2020-09-16,cl1s,0.55
2020-09-16,rb1s,0.55
2020-09-17,rb1s,0.55
2020-09-18,rb1s,0.55
2020-09-21,cl1s,0.55
2020-09-21,ho1s,0.55
2020-09-21,rb1s,0.55
2020-09-22,cl1s,0.55
2020-09-22,ho1s,0.55
2020-09-22,rb1s,0.55
2020-09-23,cl1s,0.55
2020-09-23,ho1s,0.55
2020-09-23,rb1s,0.55
2020-09-24,cl1s,0.55
2020-09-24,ho1s,0.55
2020-09-24,ng1s,0.55
2020-09-24,rb1s,0.55
2020-09-25,cl1s,0.55
2020-09-25,ho1s,0.55
2020-09-25,rb1s,0.55
2020-09-28,cl1s,0.55
2020-09-28,rb1s,0.55
2020-09-29,cl1s,0.55
2020-09-29,ho1s,0.55
2020-09-29,rb1s,0.55
2020-09-30,cl1s,0.55
2020-09-30,ho1s,0.55
2020-09-30,rb1s,0.55
2020-10-01,cl1s,0.55
2020-10-01,ho1s,0.55
2020-10-01,rb1s,0.55
2020-10-02,cl1s,0.55
2020-10-02,ho1s,0.55
2020-10-02,rb1s,0.55
2020-10-05,cl1s,0.55
2020-10-05,rb1s,0.55
2020-10-06,rb1s,0.55
2020-10-07,cl1s,0.55
2020-10-07,rb1s,0.55
2020-10-08,cl1s,0.55
2020-10-08,rb1s,0.55
2020-10-09,cl1s,0.55
2020-10-09,ng1s,0.55
2020-10-09,rb1s,0.55
2020-10-12,cl1s,0.55
2020-10-12,ng1s,0.55
2020-10-12,rb1s,0.55
2020-10-13,cl1s,0.55
2020-10-13,ng1s,0.55
2020-10-13,rb1s,0.55
2020-10-14,cl1s,0.55
2020-10-14,ng1s,0.55
2020-10-14,rb1s,0.55
2020-10-15,cl1s,0.55
2020-10-15,rb1s,0.55
2020-10-16,cl1s,0.55
2020-10-16,rb1s,0.55
2020-10-19,cl1s,0.55
2020-10-19,rb1s,0.55
2020-10-20,cl1s,0.55
2020-10-20,rb1s,0.55
2020-10-21,cl1s,0.55
2020-10-21,rb1s,0.55
2020-10-22,cl1s,0.55
2020-10-22,rb1s,0.55
2020-10-23,cl1s,0.55
2020-10-23,ho1s,0.55
2020-10-23,rb1s,0.55
2020-10-26,cl1s,0.55
2020-10-26,ho1s,0.55
2020-10-26,ng1s,0.55
2020-10-26,rb1s,0.55
2020-10-27,cl1s,0.55
2020-10-27,ho1s,0.55
2020-10-27,ng1s,0.55
2020-10-27,rb1s,0.55
2020-10-28,cl1s,0.55
2020-10-28,rb1s,0.55
2020-10-29,cl1s,0.55
2020-10-29,ho1s,0.55
2020-10-29,rb1s,0.55
2020-10-30,cl1s,0.55
2020-10-30,ho1s,0.55
2020-10-30,rb1s,0.55
2020-11-02,cl1s,0.55
2020-11-02,rb1s,0.55
2020-11-03,cl1s,0.55
2020-11-03,rb1s,0.55
2020-11-04,cl1s,0.55
2020-11-04,rb1s,0.55
2020-11-05,cl1s,0.55
2020-11-05,rb1s,0.55
2020-11-06,cl1s,0.55
2020-11-06,rb1s,0.55
2020-11-09,cl1s,0.55
2020-11-09,rb1s,0.55
2020-11-10,cl1s,0.55
2020-11-10,rb1s,0.55
2020-11-11,cl1s,0.55
2020-11-11,rb1s,0.55
2020-11-12,cl1s,0.55
2020-11-12,rb1s,0.55
2020-11-13,cl1s,0.55
2020-11-13,rb1s,0.55
2020-11-16,cl1s,0.55
2020-11-16,rb1s,0.55
2020-11-17,cl1s,0.55
2020-11-17,rb1s,0.55
2020-11-18,cl1s,0.55
2020-11-18,rb1s,0.55
2020-11-19,cl1s,0.55
2020-11-19,rb1s,0.55
2020-11-20,cl1s,0.55
2020-11-20,rb1s,0.55
2020-11-23,cl1s,0.55
2020-11-23,rb1s,0.55
2020-11-24,cl1s,0.55
2020-11-24,rb1s,0.55
2020-11-25,rb1s,0.55
2020-11-27,rb1s,0.55
2020-11-30,rb1s,0.55
2020-12-01,cl1s,0.55
2020-12-01,rb1s,0.55
2020-12-02,cl1s,0.55
2020-12-02,rb1s,0.55
2020-12-03,cl1s,0.55
2020-12-03,rb1s,0.55
2020-12-04,cl1s,0.55
2020-12-04,rb1s,0.55
2020-12-07,cl1s,0.55
2020-12-07,rb1s,0.55
2020-12-08,cl1s,0.55
2020-12-08,rb1s,0.55
2020-12-09,cl1s,0.55
2020-12-09,rb1s,0.55
2020-12-10,rb1s,0.55
2020-12-11,cl1s,0.55
2020-12-11,rb1s,0.55
2020-12-14,rb1s,0.55
2020-12-15,rb1s,0.55
2020-12-16,rb1s,0.55
2020-12-17,rb1s,0.55
2020-12-18,ho1s,0.55
2020-12-18,rb1s,0.55
2020-12-21,ho1s,0.55
2020-12-21,rb1s,0.55
2020-12-22,rb1s,0.55
2020-12-23,rb1s,0.55
2020-12-24,rb1s,0.55
2020-12-28,rb1s,0.55
2020-12-29,rb1s,0.55
2020-12-30,rb1s,0.55
2020-12-31,rb1s,0.55
2021-01-04,cl1s,0.55
2021-01-04,ho1s,0.55
2021-01-04,rb1s,0.55
2021-01-05,cl1s,0.55
2021-01-05,rb1s,0.55
2021-01-06,cl1s,0.55
2021-01-06,rb1s,0.55
2021-01-07,cl1s,0.55
2021-01-07,rb1s,0.55
2021-01-08,cl1s,0.55
2021-01-08,rb1s,0.55
2021-01-11,cl1s,0.55
2021-01-11,rb1s,0.55
2021-01-12,rb1s,0.55
2021-01-13,rb1s,0.55
2021-01-14,rb1s,0.55
2021-01-15,cl1s,0.55
2021-01-15,rb1s,0.55
2021-01-19,cl1s,0.55
2021-01-19,rb1s,0.55
2021-01-20,cl1s,0.55
2021-01-20,rb1s,0.55
2021-01-21,cl1s,0.55
2021-01-21,rb1s,0.55
2021-01-22,rb1s,0.55
2021-01-25,rb1s,0.55
2021-01-26,rb1s,0.55
2021-01-27,rb1s,0.55
2021-01-28,rb1s,0.55
2021-01-29,rb1s,0.55
2021-02-01,rb1s,0.55
2021-02-02,rb1s,0.55
2021-02-03,rb1s,0.55
2021-02-04,cl1s,0.55
2021-02-04,rb1s,0.55
2021-02-05,cl1s,0.55
2021-02-05,rb1s,0.55
2021-02-08,cl1s,0.55
2021-02-08,rb1s,0.55
2021-02-09,cl1s,0.55
2021-02-09,rb1s,0.55
2021-02-10,cl1s,0.55
2021-02-10,rb1s,0.55
2021-02-11,cl1s,0.55
2021-02-11,rb1s,0.55
2021-02-12,cl1s,0.55
2021-02-12,rb1s,0.55
2021-02-16,cl1s,0.55
2021-02-16,ng1s,0.55
2021-02-16,rb1s,0.55
2021-02-17,cl1s,0.55
2021-02-17,rb1s,0.55
2021-02-18,cl1s,0.55
2021-02-18,rb1s,0.55
2021-02-19,cl1s,0.55
2021-02-19,rb1s,0.55
2021-02-22,cl1s,0.55
2021-02-22,rb1s,0.55
2021-02-23,cl1s,0.55
2021-02-23,rb1s,0.55
2021-02-24,cl1s,0.55
2021-02-24,rb1s,0.55
2021-02-25,cl1s,0.55
2021-02-25,rb1s,0.55
2021-02-26,rb1s,0.55
2021-03-01,rb1s,0.55
2021-03-02,rb1s,0.55
2021-03-03,rb1s,0.55
2021-03-04,rb1s,0.55
2021-03-05,cl1s,0.55
2021-03-05,rb1s,0.55
2021-03-08,cl1s,0.55
2021-03-08,rb1s,0.55
2021-03-09,rb1s,0.55
2021-03-10,rb1s,0.55
2021-03-11,rb1s,0.55
2021-03-12,rb1s,0.55
2021-03-15,rb1s,0.55
2021-03-16,rb1s,0.55
2021-03-17,rb1s,0.55
2021-03-18,rb1s,0.55
2021-03-19,rb1s,0.55
2021-03-22,rb1s,0.55
2021-03-23,rb1s,0.55
2021-03-24,rb1s,0.55
2021-03-25,rb1s,0.55
2021-03-26,rb1s,0.55
2021-03-29,rb1s,0.55
2021-03-30,rb1s,0.55
2021-03-31,rb1s,0.55
2021-04-01,rb1s,0.55
2021-04-05,rb1s,0.55
2021-04-06,rb1s,0.55
2021-04-07,rb1s,0.55
2021-04-08,rb1s,0.55
2021-04-09,rb1s,0.55
2021-04-12,rb1s,0.55
2021-04-13,rb1s,0.55
2021-04-14,rb1s,0.55
2021-04-15,cl1s,0.55
2021-04-15,rb1s,0.55
2021-04-16,cl1s,0.55
2021-04-16,rb1s,0.55
2021-04-19,cl1s,0.55
2021-04-19,rb1s,0.55
2021-04-20,cl1s,0.55
2021-04-20,rb1s,0.55
2021-04-21,cl1s,0.55
2021-04-21,rb1s,0.55
2021-04-22,cl1s,0.55
2021-04-22,rb1s,0.55
2021-04-23,cl1s,0.55
2021-04-23,rb1s,0.55
2021-04-26,cl1s,0.55
2021-04-26,rb1s,0.55
2021-04-27,cl1s,0.55
2021-04-27,rb1s,0.55
2021-04-28,cl1s,0.55
2021-04-28,rb1s,0.55
2021-04-29,cl1s,0.55
2021-04-29,rb1s,0.55
2021-04-30,cl1s,0.55
2021-04-30,rb1s,0.55
2021-05-03,cl1s,0.55
2021-05-03,rb1s,0.55
2021-05-04,cl1s,0.55
2021-05-04,rb1s,0.55
2021-05-05,cl1s,0.55
2021-05-05,rb1s,0.55
2021-05-06,rb1s,0.55
2021-05-07,rb1s,0.55
2021-05-10,rb1s,0.55
2021-05-11,rb1s,0.55
2021-05-12,cl1s,0.55
2021-05-12,rb1s,0.55
2021-05-13,rb1s,0.55
2021-05-14,cl1s,0.55
2021-05-14,rb1s,0.55
2021-05-17,cl1s,0.55
2021-05-17,rb1s,0.55
2021-05-18,rb1s,0.55
2021-05-19,cl1s,0.55
2021-05-19,rb1s,0.55
2021-05-20,cl1s,0.55
2021-05-20,rb1s,0.55
2021-05-21,cl1s,0.55
2021-05-21,rb1s,0.55
2021-05-24,cl1s,0.55
2021-05-24,rb1s,0.55
2021-05-25,cl1s,0.55
2021-05-25,rb1s,0.55
2021-05-26,cl1s,0.55
2021-05-26,rb1s,0.55
2021-05-27,cl1s,0.55
2021-05-27,rb1s,0.55
2021-05-28,cl1s,0.55
2021-05-28,rb1s,0.55
2021-06-01,cl1s,0.55
2021-06-01,rb1s,0.55
2021-06-02,cl1s,0.55
2021-06-02,rb1s,0.55
2021-06-03,cl1s,0.55
2021-06-03,rb1s,0.55
2021-06-04,cl1s,0.55
2021-06-04,rb1s,0.55
2021-06-07,cl1s,0.55
2021-06-07,rb1s,0.55
2021-06-08,cl1s,0.55
2021-06-08,rb1s,0.55
2021-06-09,cl1s,0.55
2021-06-09,rb1s,0.55
2021-06-10,cl1s,0.55
2021-06-10,rb1s,0.55
2021-06-11,rb1s,0.55
2021-06-14,rb1s,0.55
2021-06-15,cl1s,0.55
2021-06-15,rb1s,0.55
2021-06-16,cl1s,0.55
2021-06-16,rb1s,0.55
2021-06-17,cl1s,0.55
2021-06-17,ho1s,0.55
2021-06-17,rb1s,0.55
2021-06-18,cl1s,0.55
2021-06-18,rb1s,0.55
2021-06-21,cl1s,0.55
2021-06-21,rb1s,0.55
2021-06-22,cl1s,0.55
2021-06-22,rb1s,0.55
2021-06-23,rb1s,0.55
2021-06-24,cl1s,0.55
2021-06-24,rb1s,0.55
2021-06-25,cl1s,0.55
2021-06-25,rb1s,0.55
2021-06-28,cl1s,0.55
2021-06-28,ho1s,0.55
2021-06-28,rb1s,0.55
2021-06-29,cl1s,0.55
2021-06-29,ho1s,0.55
2021-06-29,rb1s,0.55
2021-06-30,cl1s,0.55
2021-06-30,rb1s,0.55
2021-07-01,cl1s,0.55
2021-07-01,rb1s,0.55
2021-07-02,cl1s,0.55
2021-07-02,rb1s,0.55
2021-07-06,cl1s,0.55
2021-07-06,rb1s,0.55
2021-07-07,cl1s,0.55
2021-07-07,ho1s,0.55
2021-07-07,rb1s,0.55
2021-07-08,cl1s,0.55
2021-07-08,ho1s,0.55
2021-07-08,rb1s,0.55
2021-07-09,cl1s,0.55
2021-07-09,rb1s,0.55
2021-07-12,cl1s,0.55
2021-07-12,rb1s,0.55
2021-07-13,cl1s,0.55
2021-07-13,rb1s,0.55
2021-07-14,cl1s,0.55
2021-07-14,rb1s,0.55
2021-07-15,cl1s,0.55
2021-07-15,rb1s,0.55
2021-07-16,cl1s,0.55
2021-07-16,rb1s,0.55
2021-07-19,cl1s,0.55
2021-07-19,rb1s,0.55
2021-07-20,cl1s,0.55
2021-07-20,rb1s,0.55
2021-07-21,cl1s,0.55
2021-07-21,rb1s,0.55
2021-07-22,cl1s,0.55
2021-07-22,rb1s,0.55
2021-07-23,cl1s,0.55
2021-07-23,rb1s,0.55
2021-07-26,cl1s,0.55
2021-07-26,rb1s,0.55
2021-07-27,cl1s,0.55
2021-07-27,rb1s,0.55
2021-07-28,cl1s,0.55
2021-07-28,rb1s,0.55
2021-07-29,cl1s,0.55
2021-07-29,rb1s,0.55
2021-07-30,cl1s,0.55
2021-07-30,rb1s,0.55
2021-08-02,cl1s,0.55
2021-08-02,rb1s,0.55
2021-08-03,cl1s,0.55
2021-08-03,rb1s,0.55
2021-08-04,cl1s,0.55
2021-08-04,rb1s,0.55
2021-08-05,cl1s,0.55
2021-08-05,rb1s,0.55
2021-08-06,cl1s,0.55
2021-08-06,rb1s,0.55
2021-08-09,cl1s,0.55
2021-08-09,rb1s,0.55
2021-08-10,cl1s,0.55
2021-08-10,rb1s,0.55
2021-08-11,cl1s,0.55
2021-08-11,rb1s,0.55
2021-08-12,cl1s,0.55
2021-08-12,rb1s,0.55
2021-08-13,cl1s,0.55
2021-08-13,rb1s,0.55
2021-08-16,cl1s,0.55
2021-08-16,rb1s,0.55
2021-08-17,cl1s,0.55
2021-08-17,rb1s,0.55
2021-08-18,cl1s,0.55
2021-08-18,rb1s,0.55
2021-08-19,cl1s,0.55
2021-08-19,rb1s,0.55
2021-08-20,cl1s,0.55
2021-08-20,rb1s,0.55
2021-08-23,cl1s,0.55
2021-08-23,rb1s,0.55
2021-08-24,cl1s,0.55
2021-08-24,rb1s,0.55
2021-08-25,cl1s,0.55
2021-08-25,rb1s,0.55
2021-08-26,cl1s,0.55
2021-08-26,rb1s,0.55
2021-08-27,cl1s,0.55
2021-08-27,rb1s,0.55
2021-08-30,cl1s,0.55
2021-08-30,rb1s,0.55
2021-08-31,cl1s,0.55
2021-08-31,rb1s,0.55
2021-09-01,cl1s,0.55
2021-09-01,rb1s,0.55
2021-09-02,cl1s,0.55
2021-09-02,rb1s,0.55
2021-09-03,cl1s,0.55
2021-09-03,rb1s,0.55
2021-09-07,cl1s,0.55
2021-09-07,rb1s,0.55
2021-09-08,cl1s,0.55
2021-09-08,rb1s,0.55
2021-09-09,cl1s,0.55
2021-09-09,rb1s,0.55
2021-09-10,cl1s,0.55
2021-09-10,rb1s,0.55
2021-09-13,cl1s,0.55
2021-09-13,rb1s,0.55
2021-09-14,cl1s,0.55
2021-09-14,rb1s,0.55
2021-09-15,cl1s,0.55
2021-09-15,rb1s,0.55
2021-09-16,cl1s,0.55
2021-09-16,rb1s,0.55
2021-09-17,cl1s,0.55
2021-09-17,rb1s,0.55
2021-09-20,cl1s,0.55
2021-09-20,rb1s,0.55
2021-09-21,cl1s,0.55
2021-09-21,rb1s,0.55
2021-09-22,cl1s,0.55
2021-09-22,rb1s,0.55
2021-09-23,cl1s,0.55
2021-09-23,rb1s,0.55
2021-09-24,cl1s,0.55
2021-09-24,rb1s,0.55
2021-09-27,cl1s,0.55
2021-09-27,rb1s,0.55
2021-09-28,cl1s,0.55
2021-09-28,rb1s,0.55
2021-09-29,cl1s,0.55
2021-09-29,rb1s,0.55
2021-09-30,cl1s,0.55
2021-09-30,rb1s,0.55
2021-10-01,cl1s,0.55
2021-10-01,rb1s,0.55
2021-10-04,cl1s,0.55
2021-10-04,rb1s,0.55
2021-10-05,ng1s,0.55
2021-10-05,rb1s,0.55
2021-10-06,ng1s,0.55
2021-10-06,rb1s,0.55
2021-10-07,ng1s,0.55
2021-10-07,rb1s,0.55
2021-10-08,ng1s,0.55
2021-10-08,rb1s,0.55
2021-10-11,ng1s,0.55
2021-10-11,rb1s,0.55
2021-10-12,ng1s,0.55
2021-10-12,rb1s,0.55
2021-10-13,ng1s,0.55
2021-10-13,rb1s,0.55
2021-10-14,ng1s,0.55
2021-10-14,rb1s,0.55
2021-10-15,ng1s,0.55
2021-10-15,rb1s,0.55
2021-10-18,ng1s,0.55
2021-10-18,rb1s,0.55
2021-10-19,ng1s,0.55
2021-10-19,rb1s,0.55
2021-10-20,ng1s,0.55
2021-10-20,rb1s,0.55
2021-10-21,ng1s,0.55
2021-10-21,rb1s,0.55
2021-10-22,ng1s,0.55
2021-10-22,rb1s,0.55
2021-10-25,ng1s,0.55
2021-10-25,rb1s,0.55
2021-10-26,ng1s,0.55
2021-10-26,rb1s,0.55
2021-10-27,ng1s,0.55
2021-10-27,rb1s,0.55
2021-10-28,ng1s,0.55
2021-10-28,rb1s,0.55
2021-10-29,ng1s,0.55
2021-10-29,rb1s,0.55
2021-11-01,ng1s,0.55
2021-11-01,rb1s,0.55
2021-11-02,ng1s,0.55
2021-11-02,rb1s,0.55
2021-11-03,cl1s,0.55
2021-11-03,ho1s,0.55
2021-11-03,ng1s,0.55
2021-11-03,rb1s,0.55
2021-11-04,ho1s,0.55
2021-11-04,ng1s,0.55
2021-11-04,rb1s,0.55
2021-11-05,cl1s,0.55
2021-11-05,ho1s,0.55
2021-11-05,ng1s,0.55
2021-11-05,rb1s,0.55
2021-11-08,cl1s,0.55
2021-11-08,ho1s,0.55
2021-11-08,ng1s,0.55
2021-11-08,rb1s,0.55
2021-11-09,cl1s,0.55
2021-11-09,ng1s,0.55
2021-11-09,rb1s,0.55
2021-11-10,cl1s,0.55
2021-11-10,ng1s,0.55
2021-11-10,rb1s,0.55
2021-11-11,cl1s,0.55
2021-11-11,ng1s,0.55
2021-11-11,rb1s,0.55
2021-11-12,cl1s,0.55
2021-11-12,ho1s,0.55
2021-11-12,ng1s,0.55
2021-11-12,rb1s,0.55
2021-11-15,cl1s,0.55
2021-11-15,ho1s,0.55
2021-11-15,ng1s,0.55
